dataset,image,psnr_db,ssim,rmse
LC25000,lungaca146.jpeg,16.06579539102483,0.8614024286609503,40.1097920964968
LC25000,lungaca246.jpeg,16.61342764985089,0.9299245471653204,37.65900124840178
LC25000,lungaca437.jpeg,14.612501631057842,0.8979285324425593,47.414928378344655
LC25000,lungaca284.jpeg,16.997872511617622,0.8755636745141432,36.0285309969609
LC25000,lungaca158.jpeg,16.368287147387015,0.8543418393316188,38.73698568073008
LC25000,lungaca176.jpeg,15.762770095380334,0.8607642648969117,41.53380080099991
LC25000,lungaca434.jpeg,19.09111454166017,0.9062267788428322,28.312906409085027
LC25000,lungaca233.jpeg,16.861971560713286,0.8691083599779349,36.596672736974455
LC25000,lungaca281.jpeg,17.237587106839158,0.9174463599926547,35.04780510131677
LC25000,lungaca431.jpeg,13.955652459180357,0.8349910312846481,51.13962716619481
LC25000,lungaca116.jpeg,17.431864686824802,0.9050407611035394,34.272591620176456
LC25000,lungaca473.jpeg,16.543304323526588,0.8668938426210232,37.96426220608098
LC25000,lungaca104.jpeg,16.724995393283024,0.9278445543838952,37.17837561216439
LC25000,lungaca183.jpeg,16.99228651878809,0.9273928005117403,36.051708800591854
LC25000,lungaca354.jpeg,16.27535526384111,0.9079250071840997,39.15366469123673
LC25000,lungaca57.jpeg,20.888232972676928,0.850130820267014,23.02123042359182
LC25000,lungaca385.jpeg,16.174788079291044,0.9276421264373648,39.60962916653605
LC25000,lungaca182.jpeg,19.817945523583212,0.8063190830593978,26.04011538348309
LC25000,lungaca427.jpeg,14.369153712072729,0.8471275894072846,48.762110560225096
LC25000,lungaca341.jpeg,14.797170529603846,0.7462874948939815,46.41749015304391
LC25000,lungaca350.jpeg,15.154919649889745,0.822226067004482,44.54451122901126
LC25000,lungaca382.jpeg,15.628751044996932,0.8976410245864169,42.17961663580154
LC25000,lungaca243.jpeg,15.40111023796469,0.8383974468030787,43.29967818153244
LC25000,lungaca276.jpeg,15.79360048054177,0.9206427141782919,41.38663876509627
LC25000,lungaca13.jpeg,16.84821724210009,0.9158515575544405,36.65467037126431
LC25000,lungaca303.jpeg,15.519324881650649,0.8921760646312588,42.7143632207958
LC25000,lungaca469.jpeg,16.58277260594003,0.9021731097894752,37.79214568829333
LC25000,lungaca262.jpeg,16.038433351763295,0.911007400134625,40.23634403330913
LC25000,lungaca212.jpeg,16.650974896765067,0.9197427127983971,37.49656077496722
LC25000,lungaca138.jpeg,16.038248627708818,0.9186851432618542,40.23719975447907
LC25000,lungaca370.jpeg,16.98607615667526,0.8855066143809847,36.077494786413006
LC25000,lungaca323.jpeg,16.15587125643512,0.9282444220553193,39.69598818008333
LC25000,lungaca41.jpeg,17.78793013619608,0.9342131393876644,32.89604398147132
LC25000,lungaca321.jpeg,15.389255333660321,0.8575703054467825,43.35881593472994
